reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.01,1.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.025,2.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.05,4.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.1,5.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.15,5.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.2,6.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.25,9.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.3,11.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.35,11.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.4,13.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.45,17.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.5,19.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.55,19.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.6,20.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.65,22.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.7,26.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.75,28.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.8,35.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.85,36.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.9,53.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.95,66.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.975,73.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.99,94.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.01,0.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.025,1.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.05,2.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.1,2.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.15,3.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.2,4.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.25,4.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.3,4.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.35,5.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.4,5.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.45,6.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.5,6.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.55,7.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.6,7.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.65,8.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.7,9.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.75,10.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.8,11.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.85,12.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.9,15.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.95,18.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.975,21.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,02,quantile,0.99,24.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.01,7.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.025,16.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.05,20.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.1,24.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.15,25.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.2,27.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.25,31.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.3,31.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.35,33.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.4,33.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.45,33.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.5,34.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.55,36.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.6,36.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.65,38.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.7,39.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.75,42.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.8,43.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.85,46.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.9,51.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.95,60.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.975,69.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,04,quantile,0.99,88.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,05,quantile,0.01,5.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,05,quantile,0.025,11.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,05,quantile,0.05,13.5
2026-01-31,wk inc rsv hosp,0,2026-01-31,05,quantile,0.1,16.5
