reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.01,14.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.025,37.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.05,44.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.1,50.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.15,58.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.2,58.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.25,60.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.3,61.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.35,62.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.4,64.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.45,65.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.5,68.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.55,69.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.6,71.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.65,74.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.7,79.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.75,80.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.8,80.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.85,82.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.9,85.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.95,96.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.975,101.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.99,112.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.01,0.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.025,1.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.05,2.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.1,2.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.15,3.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.2,3.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.25,4.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.3,4.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.35,5.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.4,5.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.45,5.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.5,6.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.55,6.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.6,7.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.65,7.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.7,7.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.75,9.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.8,9.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.85,12.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.9,15.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.95,18.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.975,23.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.99,28.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.01,13.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.025,43.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.05,53.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.1,67.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.15,76.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.2,79.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.25,81.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.3,82.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.35,85.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.4,87.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.45,88.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.5,92.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.55,94.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.6,99.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.65,101.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.7,103.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.75,112.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.8,114.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.85,116.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.9,119.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.95,131.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.975,149.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.99,156.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.01,9.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.025,28.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.05,33.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.1,41.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.15,43.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.2,44.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.25,45.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.3,45.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.35,47.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.4,47.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.45,49.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.5,51.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.55,51.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.6,52.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.65,54.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.7,54.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.75,56.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.8,57.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.85,58.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.9,63.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.95,72.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.975,77.5
2026-02-14,wk inc rsv hosp,0,2026-02-14,05,quantile,0.99,84.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,06,quantile,0.01,88.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,06,quantile,0.025,177.0
