output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,2,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.025,3,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.05,3,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.1,4,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.15,5,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.2,5,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.25,6,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.3,6,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.35,7,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.4,7,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.45,8,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.5,8,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.55,9,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.6,9,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.65,10,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.7,11,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.75,11,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.8,12,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.85,13,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.9,14,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.95,16,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.975,18,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.99,20,2026-02-14,wk inc rsv hosp,-1,2026-02-07,02
quantile,0.01,1,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.025,2,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.05,2,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.1,3,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.15,4,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.2,5,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.25,5,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.3,6,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.35,6,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.4,7,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.45,7,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.5,8,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.55,8,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.6,9,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.65,9,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.7,10,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.75,11,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.8,12,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.85,13,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.9,14,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.95,17,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.975,20,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.99,23.00999999999999,2026-02-14,wk inc rsv hosp,0,2026-02-14,02
quantile,0.01,0,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.025,1,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.05,1,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.1,2,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.15,3,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.2,3,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.25,4,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.3,4,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.35,5,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.4,6,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.45,6,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.5,7,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.55,7.4500000000000455,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.6,8,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.65,9,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.7,10,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.75,11,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.8,12,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.85,13,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.9,15,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.95,19,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.975,22.024999999999864,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.99,28.00999999999999,2026-02-14,wk inc rsv hosp,1,2026-02-21,02
quantile,0.01,45.99,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.025,49,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.05,52,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.1,56,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.15,59,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.2,61,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.25,62,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.3,64,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.35,66,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.4,67,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.45,69,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.5,70,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
quantile,0.55,72,2026-02-14,wk inc rsv hosp,-1,2026-02-07,01
