output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,5,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.025,6,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.05,7,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.1,9,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.15,10,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.2,11,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.25,12,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.3,13,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.35,13,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.4,14,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.45,15,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.5,15,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.55,16,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.6,17,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.65,18,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.7,19,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.75,20,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.8,22,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.85,23,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.9,25,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.95,29,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.975,33,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.99,37,2026-02-07,wk inc rsv hosp,0,2026-02-07,02
quantile,0.01,4,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.025,5,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.05,7,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.1,9,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.15,10,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.2,11,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.25,13,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.3,14,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.35,15,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.4,16,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.45,17,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.5,18,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.55,19,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.6,21,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.65,22,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.7,24,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.75,25,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.8,27,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.85,31,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.9,34,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.95,41,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.975,48,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.99,56.00999999999999,2026-02-07,wk inc rsv hosp,1,2026-02-14,02
quantile,0.01,35,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.025,40,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.05,44,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.1,47,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.15,50,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.2,52,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.25,55,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.3,57,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.35,59,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.4,61,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.45,63,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.5,65,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.55,66,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.6,68,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.65,71,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.7,73,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.75,75,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.8,78,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.85,82,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.9,87,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.95,95,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.975,103,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
quantile,0.99,113.01999999999998,2026-02-07,wk inc rsv hosp,0,2026-02-07,01
