output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,2,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.025,2,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.05,3,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.1,4,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.15,5,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.2,6,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.25,6,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.3,7,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.35,8,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.4,8,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.45,9,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.5,9,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.55,10,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.6,10,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.65,11,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.7,12,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.75,13,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.8,14,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.85,15,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.9,16.100000000000136,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.95,19,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.975,22,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.99,26,2026-01-24,wk inc rsv hosp,0,2026-01-24,02
quantile,0.01,2,2026-01-24,wk inc rsv hosp,1,2026-01-31,02
quantile,0.025,2,2026-01-24,wk inc rsv hosp,1,2026-01-31,02
quantile,0.05,3,2026-01-24,wk inc rsv hosp,1,2026-01-31,02
quantile,0.1,5,2026-01-24,wk inc rsv hosp,1,2026-01-31,02
quantile,0.15,5,2026-01-24,wk inc rsv hosp,1,2026-01-31,02
