output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,39,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.025,43,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.05,47,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.1,53,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.15,57,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.2,60,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.25,63,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.3,66,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.35,69,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.4,71,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.45,74,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.5,76,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.55,78,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.6,81.39999999999986,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.65,84,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.7,87,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.75,92,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.8,96,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.85,101,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.9,109,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.95,120.04999999999995,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.975,132,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.99,147,2025-12-06,wk inc rsv hosp,0,2025-12-06,39
quantile,0.01,38.99,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.025,46,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.05,54,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.1,64,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.15,72,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.2,78,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.25,83,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.3,88,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.35,93,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.4,98,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
quantile,0.45,105,2025-12-06,wk inc rsv hosp,1,2025-12-13,39
