output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,1,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.025,1,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.05,2,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.1,3,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.15,3,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.2,4,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.25,4,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.3,5,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.35,5,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.4,6,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.45,6,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.5,7,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.55,7,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.6,8,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.65,8,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.7,9,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.75,10,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.8,11,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.85,12,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.9,14,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.95,16,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.975,19,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.99,23,2026-01-03,wk inc rsv hosp,0,2026-01-03,02
quantile,0.01,1,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.025,1,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.05,2,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.1,3,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.15,4,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.2,5,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.25,5,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.3,6,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.35,6,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.4,7,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.45,8,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.5,9,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.55,9,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.6,10,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.65,11,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.7,12,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.75,14,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.8,15,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.85,18,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.9,21,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.95,29,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.975,36,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.99,47,2026-01-03,wk inc rsv hosp,1,2026-01-10,02
quantile,0.01,79.99000000000001,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.025,85,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.05,90,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.1,98,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.15,103,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.2,106,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.25,110,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.3,113,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.35,116,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.4,119,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.45,122,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.5,124,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.55,127,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.6,130,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.65,133,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.7,136,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.75,139,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.8,142,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.85,147,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.9,153,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.95,163,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.975,175,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.99,189,2026-01-03,wk inc rsv hosp,0,2026-01-03,01
quantile,0.01,73,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.025,83.975,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.05,92,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.1,102,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.15,109,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.2,114,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.25,119,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.3,123.69999999999993,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.35,128,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.4,132,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.45,137,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.5,141,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.55,145,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.6,149,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.65,154,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.7,160,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.75,164,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.8,171,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.85,179.14999999999986,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.9,191,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.95,210.04999999999995,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.975,233.02499999999986,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.99,271.01,2026-01-03,wk inc rsv hosp,1,2026-01-10,01
quantile,0.01,3,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.025,4,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.05,7,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.1,10,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.15,12,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.2,14,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.25,16,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.3,18,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.35,20,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.4,22,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.45,23,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.5,25,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.55,27,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.6,29,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.65,32,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.7,35,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.75,38,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.8,41,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.85,46,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.9,53,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.95,69.04999999999995,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.975,86,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.99,117,2026-01-03,wk inc rsv hosp,0,2026-01-03,04
quantile,0.01,2,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.025,5,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.05,7,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.1,11,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.15,14,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.2,17,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.25,20,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.3,22,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.35,24,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.4,27,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.45,30,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.5,33,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.55,36,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.6,39,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.65,44,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.7,49,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.75,54,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.8,61,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.85,71,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.9,86,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.95,115.04999999999995,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.975,156.02499999999986,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.99,223.02999999999997,2026-01-03,wk inc rsv hosp,1,2026-01-10,04
quantile,0.01,200,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.025,214,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.05,226.95000000000002,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.1,241.9,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.15,250.84999999999997,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.2,260,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.25,268,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.3,274,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.35,280,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.4,286,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.45,292,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.5,299,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.55,303,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.6,310,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.65,317,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.7,324,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.75,332,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.8,342.20000000000005,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.85,356,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.9,371,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.95,398,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.975,427,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.99,450.02,2026-01-03,wk inc rsv hosp,0,2026-01-03,06
quantile,0.01,205.97,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.025,223,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.05,246,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.1,272,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.15,287,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.2,304,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.25,316,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.3,327,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.35,339,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.4,349.6,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.45,361,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.5,373,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.55,384.45000000000005,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.6,397,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.65,408,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.7,423,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.75,441.25,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.8,465.20000000000005,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.85,490,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.9,526.1000000000001,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.95,590.05,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.975,652.0499999999997,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.99,752.01,2026-01-03,wk inc rsv hosp,1,2026-01-10,06
quantile,0.01,39,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.025,44,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.05,49,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.1,56.900000000000006,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.15,61,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.2,64,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.25,67,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.3,70,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.35,73,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.4,75,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.45,78,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.5,81,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.55,83,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.6,86,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.65,90,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.7,93,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.75,97,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.8,101,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.85,106,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.9,112.10000000000014,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.95,127,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.975,140,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.99,154.02999999999997,2026-01-03,wk inc rsv hosp,0,2026-01-03,08
quantile,0.01,39,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.025,48,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.05,57,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.1,67,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.15,76,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.2,83,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.25,88,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.3,95,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.35,101,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.4,106,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.45,111,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.5,117,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.55,123,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.6,130,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.65,136,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.7,143,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
quantile,0.75,152,2026-01-03,wk inc rsv hosp,1,2026-01-10,08
