output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,86.99000000000001,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.025,95.975,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.05,103,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.1,112,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.15,119,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.2,124,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.25,128,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.3,133,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.35,136.64999999999998,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.4,141,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.45,145,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.5,149,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.55,153,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.6,157,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.65,161,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.7,167,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.75,174,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.8,180,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.85,189,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.9,200,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.95,221,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.975,239.04999999999995,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.99,279.0799999999999,2025-12-13,wk inc rsv hosp,0,2025-12-13,13
quantile,0.01,66.98,2025-12-13,wk inc rsv hosp,1,2025-12-20,13
