reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.01,0.0030698221244910844
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.025,0.0031566343746598454
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.05,0.0032651284283848497
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.1,0.003416980433978279
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.15,0.0035254178272980503
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.2,0.0035904689370035905
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.25,0.0036555115540275905
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.3,0.0036988685813751088
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.35,0.003763897047625264
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.4,0.0038072446426628955
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.45,0.0038722589627567003
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.5,0.003915597128562106
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.55,0.003980597307115046
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.6,0.004023926046764546
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.65,0.0040889120883901
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.7,0.004153889650072856
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.75,0.004218858733472513
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.8,0.004283819340248331
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.85,0.0043704202996238395
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.9,0.004500293497402005
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.95,0.004673405064666884
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.975,0.004846456436224545
2026-02-14,01,-1,wk inc rsv prop ed visits,2026-02-07,quantile,0.99,0.004997827031725337
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.01,0.0019495860297713626
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.025,0.0021298829769622477
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.05,0.0023044237830915585
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.1,0.0025200149588239648
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.15,0.002683407969657134
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.2,0.0028126099232437815
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.25,0.002926283353479069
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.3,0.0030324881473498292
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.35,0.0031286757654030097
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.4,0.0032255149422733926
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.45,0.003320854584823275
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.5,0.0034189462447110222
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.55,0.0035196727866405463
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.6,0.0036236114400271914
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.65,0.003737659954568124
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.7,0.0038543887808418402
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.75,0.003986723102495585
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.8,0.004137605823006764
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.85,0.004315886483325055
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.9,0.00454988994202742
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.95,0.004927654810125143
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.975,0.005264967406138011
2026-02-14,01,0,wk inc rsv prop ed visits,2026-02-14,quantile,0.99,0.00568813124107684
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.01,0.0012724393302305588
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.025,0.0014918559529277556
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.05,0.001710276500685999
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.1,0.0019601186567008294
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.15,0.002157947790677803
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.2,0.00231408449251682
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.25,0.002447892315903914
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.3,0.0025879877066660047
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.35,0.002694424694801735
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.4,0.002817015914978088
2026-02-14,01,1,wk inc rsv prop ed visits,2026-02-21,quantile,0.45,0.00294507479484344
