reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.01,24
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.025,28
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.05,33
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.1,38
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.15,42
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.2,45
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.25,49
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.3,51
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.35,54
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.4,57
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.45,60
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.5,63
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.55,66
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.6,69
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.65,73
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.7,76
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.75,81
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.8,86
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.85,93
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.9,101
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.95,115
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.975,127
2025-12-06,01,-1,wk inc rsv hosp,2025-11-29,quantile,0.99,143
2025-12-06,01,0,wk inc rsv hosp,2025-12-06,quantile,0.01,34.5
2025-12-06,01,0,wk inc rsv hosp,2025-12-06,quantile,0.025,38.5
2025-12-06,01,0,wk inc rsv hosp,2025-12-06,quantile,0.05,43
2025-12-06,01,0,wk inc rsv hosp,2025-12-06,quantile,0.1,48.5
2025-12-06,01,0,wk inc rsv hosp,2025-12-06,quantile,0.15,52.5
2025-12-06,01,0,wk inc rsv hosp,2025-12-06,quantile,0.2,56.5
