reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.01,29.5
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.025,46.5
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.05,62.5
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.1,69.25
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.15,76.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.2,80.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.25,85.25
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.3,87.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.35,92
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.4,95.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.45,98.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.5,102
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.55,109.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.6,116.25
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.65,123
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.7,128
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.75,134
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.8,137.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.85,140.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.9,143.5
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.95,154.5
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.975,162.75
2026-01-17,01,0,wk inc rsv hosp,2026-01-17,quantile,0.99,176
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.01,20.25
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.025,39
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.05,53.25
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.1,59
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.15,66.25
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.2,69.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.25,73.75
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.3,78
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.35,81.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.4,84
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.45,88.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.5,91.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.55,98.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.6,106.25
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.65,110.25
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.7,114.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.75,119.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.8,126.25
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.85,130
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.9,137
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.95,146.5
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.975,151
2026-01-17,01,1,wk inc rsv hosp,2026-01-24,quantile,0.99,164.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.01,18.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.025,50.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.05,65
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.1,71
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.15,76.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.2,80.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.25,82.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.3,85
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.35,89
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.4,90
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.45,94
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.5,96.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.55,99
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.6,108
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.65,110.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.7,110.5
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.75,112
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.8,122
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.85,129
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.9,136
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.95,146
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.975,154
2026-01-17,01,2,wk inc rsv hosp,2026-01-31,quantile,0.99,163
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.01,18.5
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.025,50.5
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.05,55
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.1,61
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.15,66
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.2,69
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.25,73
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.3,76
2026-01-17,01,3,wk inc rsv hosp,2026-02-07,quantile,0.35,79
