reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.01,1
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.025,1
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.05,2
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.1,2
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.15,3
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.2,3
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.25,4
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.3,4
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.35,5
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.4,5
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.45,6
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.5,6
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.55,7
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.6,7
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.65,8
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.7,8
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.75,9
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.8,10
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.85,11
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.9,12
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.95,14
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.975,16
2025-09-27,01,-1,wk inc rsv hosp,2025-09-20,quantile,0.99,19
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.01,3
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.025,4
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.05,5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.1,5.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.15,6.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.2,7.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.25,8
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.3,9
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.35,9
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.4,10
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.45,10.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.5,11
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.55,11.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.6,12.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.65,13.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.7,13.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.75,14.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.8,15.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.85,17.074999999999932
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.9,19
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.95,22
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.975,24.5
2025-09-27,01,0,wk inc rsv hosp,2025-09-27,quantile,0.99,30
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.01,3.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.025,5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.05,6
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.1,7.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.15,8.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.2,9.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.25,10.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.3,11.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.35,12.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.4,13.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.45,14.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.5,15.5
2025-09-27,01,1,wk inc rsv hosp,2025-10-04,quantile,0.55,16.5
