reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.01,294.17591833333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.025,294.17591833333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.05,294.17591833333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.1,294.17591833333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.15,294.17591833333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.2,295.4229313276191
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.25,296.94705832063494
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.3,370.4729083213333
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.35,383.9892956346667
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.4,385.29470738857145
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.45,387.3769848434524
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.5,390.84248583333334
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.55,391.9291251565476
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.6,394.01140261142854
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.65,395.3168143653333
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.7,408.8332016786667
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.75,482.35905167936505
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.8,483.8831786723809
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.85,485.13019166666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.9,485.13019166666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.95,485.13019166666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.975,485.13019166666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,06,quantile,0.99,485.13019166666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.01,57.72738666666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.025,57.72738666666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.05,57.72738666666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.1,77.36861096794918
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.15,77.992543343073
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.2,82.85517353437585
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.25,83.14650222551109
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.3,83.67114951086474
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.35,84.7401986217371
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.4,87.3076890496312
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.45,88.39286070319689
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.5,91.30667549999995
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.55,93.4656686301364
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.6,94.55084028370209
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.65,97.1183307115962
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.7,98.18737982246854
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.75,98.7120271078222
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.8,99.00335579895744
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.85,103.86598599026028
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.9,104.4899183653841
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.95,124.13114266666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.975,124.13114266666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,08,quantile,0.99,124.13114266666663
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.01,56.7206295
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.025,56.7206295
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.05,56.7206295
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.1,56.7206295
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.15,70.72552383980953
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.2,71.20929384539681
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.25,79.4855328229841
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.3,79.9436054953835
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.35,81.62701583742857
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.4,82.11229331087618
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.45,82.75027262930665
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.5,83.14442745
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.55,83.49061270402667
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.6,84.12859202245714
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.65,84.61386949590475
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.7,86.29727983794983
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.75,86.75535251034923
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.8,95.03159148793652
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.85,95.5153614935238
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.9,109.52025583333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.95,109.52025583333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.975,109.52025583333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,09,quantile,0.99,109.52025583333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.01,36.10531083333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.025,36.10531083333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.05,36.10531083333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.1,36.10531083333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.15,36.10531083333332
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.2,88.13437245555555
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.25,92.4429779438094
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.3,103.77249136304762
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.35,106.58424503211428
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.4,110.69011493638098
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.45,112.5382478969389
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.5,114.6986335
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.55,116.31172376972778
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.6,118.1598567302857
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.65,122.2657266345524
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.7,125.07748030361904
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.75,136.4069937228573
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.8,140.7155992111111
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.85,192.74466083333337
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.9,192.74466083333337
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.95,192.74466083333337
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.975,192.74466083333337
2026-01-31,0,wk inc rsv hosp,2026-01-31,13,quantile,0.99,192.74466083333337
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.01,55.17070083333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.025,55.17070083333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.05,55.17070083333336
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.1,57.92370183983488
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.15,59.42286080377139
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.2,81.79657437434919
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.25,82.71807218193024
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.3,90.70438651429824
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.35,108.5689595979962
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.4,109.72381887315557
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.45,110.6156721662141
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.5,110.83752905
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.55,110.97503583378592
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.6,111.86688912684444
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.65,113.0217484020038
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.7,130.88632148570176
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.75,138.87263581806977
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.8,139.79413362565083
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.85,162.16784719622862
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.9,163.66700616016513
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.95,166.42000716666666
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.975,166.42000716666666
2026-01-31,0,wk inc rsv hosp,2026-01-31,24,quantile,0.99,166.42000716666666
