output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,150,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.025,162,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.05,171.95,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.1,182,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.15,189,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.2,195,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.25,200,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.3,204,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.35,208,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.4,212.60000000000002,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.45,216,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.5,221,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.55,225,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.6,229,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.65,234,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.7,239,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.75,244,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.8,252,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.85,259,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.9,270,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.95,286,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.975,301,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.99,317.01,2026-01-17,wk inc rsv hosp,0,2026-01-17,13
quantile,0.01,0.003708172621763998,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.025,0.0038798916360126678,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.05,0.004112580700472806,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.1,0.004276656327707448,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.15,0.004394569976204965,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.2,0.004512709508266472,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.25,0.004621912000522873,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.3,0.004702842323501107,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.35,0.00477684702236255,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.4,0.004857603381544457,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.45,0.0049458680266143,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.5,0.005020023597214353,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.55,0.005094497881685421,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.6,0.005171490344018704,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.65,0.005261954416225826,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.7,0.005349225392990342,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.75,0.005453673644444271,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.8,0.005595464462605682,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.85,0.005733783788004479,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.9,0.0059024544098664825,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.95,0.006166192618570601,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.975,0.0064566932591269225,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.99,0.00680244975994321,2026-01-17,wk inc rsv prop ed visits,0,2026-01-17,13
quantile,0.01,118,2026-01-17,wk inc rsv hosp,1,2026-01-24,13
quantile,0.025,129,2026-01-17,wk inc rsv hosp,1,2026-01-24,13
