output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,19,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.025,21,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.05,23,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.1,26,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.15,28,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.2,30,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.25,32,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.3,34,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.35,36,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.4,37,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.45,39,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.5,41,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.55,43,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.6,44,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.65,47,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.7,49,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.75,52,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.8,55,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.85,59.149999999999864,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.9,64.10000000000014,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.95,76,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.975,86,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.99,97.03999999999996,2026-01-31,wk inc rsv hosp,0,2026-01-31,40
quantile,0.01,0.0032317877567713833,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.025,0.0035691748671235948,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.05,0.003910966319780849,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.1,0.004355360370073664,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.15,0.004704374521808615,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.2,0.004972716693014612,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.25,0.005232357433794046,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.3,0.005472035894890214,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.35,0.00567499475041954,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.4,0.005898476254263074,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.45,0.0061433482531729495,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.5,0.006392484070958325,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.55,0.00662807963661746,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.6,0.0069103855989951935,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.65,0.007189520499456332,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.7,0.007462507897068871,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.75,0.007755855914165563,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.8,0.008133948605233634,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.85,0.00867712128674059,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.9,0.009349287510902186,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.95,0.010503370494183208,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.975,0.01169038383891646,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.99,0.012840907985995567,2026-01-31,wk inc rsv prop ed visits,0,2026-01-31,40
quantile,0.01,14,2026-01-31,wk inc rsv hosp,1,2026-02-07,40
