reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.75,47.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.8,80.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.8,71.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.8,61.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.8,50.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.85,83.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.85,75.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.85,65.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.85,53.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.9,87.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.9,80.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.9,70.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.9,58.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.95,93.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.95,87.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.95,77.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.95,65.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.975,98.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.975,92.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.975,84.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.975,70.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.99,102.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.99,99.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.99,91.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.99,77.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.01,3.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.01,2.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.01,1.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.01,1.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.025,4.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.025,3.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.025,1.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.025,1.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.05,4.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.05,3.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.05,2.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.05,1.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.1,5.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.1,3.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.1,2.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.1,2.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.15,5.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.15,4.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.15,3.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.15,2.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.2,6.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.2,4.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.2,3.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.2,2.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.25,6.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.25,5.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.25,4.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.25,3.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.3,6.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.3,5.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.3,4.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.3,3.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.35,7.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.35,6.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.35,4.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.35,4.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.4,7.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.4,6.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.4,5.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.4,4.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.45,8.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.45,6.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.45,5.0
