reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.01,68.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.01,43.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.01,26.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.01,16.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.025,72.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.025,46.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.025,29.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.025,18.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.05,76.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.05,50.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.05,32.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.05,20.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.1,80.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.1,53.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.1,35.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.1,22.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.15,84.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.15,56.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.15,37.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.15,24.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.2,87.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.2,59.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.2,39.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.2,26.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.25,89.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.25,61.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.25,41.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.25,27.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.3,91.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.3,63.0
2026-01-31,wk inc rsv hosp,2,2026-02-14,01,quantile,0.3,43.0
2026-01-31,wk inc rsv hosp,3,2026-02-21,01,quantile,0.3,29.0
2026-01-31,wk inc rsv hosp,0,2026-01-31,01,quantile,0.35,94.0
2026-01-31,wk inc rsv hosp,1,2026-02-07,01,quantile,0.35,65.0
