reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.01,60.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.01,62.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.01,62.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.01,62.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.025,63.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.025,66.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.025,67.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.025,68.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.05,66.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.05,70.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.05,73.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.05,74.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.1,69.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.1,76.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.1,81.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.1,84.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.15,72.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.15,80.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.15,87.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.15,92.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.2,74.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.2,84.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.2,92.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.2,98.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.25,76.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.25,87.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.25,96.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.25,104.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.3,78.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.3,90.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.3,101.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.3,110.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.35,80.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.35,93.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.35,105.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.35,115.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.4,82.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.4,96.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.4,109.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.4,121.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.45,83.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.45,98.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.45,113.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.45,126.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.5,85.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.5,101.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.5,118.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.5,132.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.55,87.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.55,104.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.55,122.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.55,138.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.6,88.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.6,107.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.6,127.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.6,144.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.65,90.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.65,111.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.65,132.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.65,151.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.7,92.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.7,114.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.7,137.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.7,158.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.75,94.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.75,118.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.75,143.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.75,166.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.8,97.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.8,122.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.8,150.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.8,176.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.85,100.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.85,128.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.85,159.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.85,187.0
2025-12-13,wk inc rsv hosp,0,2025-12-13,01,quantile,0.9,103.0
2025-12-13,wk inc rsv hosp,1,2025-12-20,01,quantile,0.9,135.0
2025-12-13,wk inc rsv hosp,2,2025-12-27,01,quantile,0.9,169.0
2025-12-13,wk inc rsv hosp,3,2026-01-03,01,quantile,0.9,201.0
