reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.01,65.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.01,53.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.01,42.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.01,34.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.025,68.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.025,57.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.025,46.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.025,37.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.05,71.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.05,61.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.05,50.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.05,41.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.1,75.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.1,65.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.1,55.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.1,45.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.15,78.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.15,69.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.15,59.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.15,49.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.2,81.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.2,72.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.2,62.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.2,52.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.25,83.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.25,75.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.25,65.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.25,55.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.3,85.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.3,77.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.3,67.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.3,58.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.35,87.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.35,79.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.35,70.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.35,61.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.4,89.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.4,82.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.4,73.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.4,63.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.45,91.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.45,84.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.45,75.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.45,66.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.5,93.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.5,86.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.5,78.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.5,68.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.55,94.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.55,89.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.55,80.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.55,71.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.6,96.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.6,91.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.6,83.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.6,74.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.65,98.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.65,94.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.65,86.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.65,77.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.7,100.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.7,96.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.7,89.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.7,80.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.75,103.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.75,99.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.75,92.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.75,83.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.8,105.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.8,102.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.8,96.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.8,87.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.85,109.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.85,107.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.85,101.0
2026-01-10,wk inc rsv hosp,3,2026-01-31,01,quantile,0.85,92.0
2026-01-10,wk inc rsv hosp,0,2026-01-10,01,quantile,0.9,112.0
2026-01-10,wk inc rsv hosp,1,2026-01-17,01,quantile,0.9,112.0
2026-01-10,wk inc rsv hosp,2,2026-01-24,01,quantile,0.9,107.0
